# Net Counts	Error
10	3.1623
0	0.0000
0	0.0000
0	0.0000
0	0.0000
1	1.0000
0	0.0000
0	0.0000
0	0.0000
2	1.4142
0	0.0000
0	0.0000
1	1.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
1	1.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
1	1.0000
0	0.0000
0	0.0000
2	1.4142
2	1.4142
3	1.7321
4	2.0000
19	4.3589
22	4.6904
40	6.3246
85	9.2195
115	10.7238
157	12.5300
229	15.1327
298	17.2627
332	18.2209
395	19.8746
484	22.0000
510	22.5832
641	25.3180
647	25.4362
713	26.7021
731	27.0370
722	26.8701
742	27.2397
730	27.0185
615	24.7992
611	24.7184
529	23.0000
398	19.9499
332	18.2209
268	16.3707
199	14.1067
190	13.7840
164	12.8062
156	12.4900
139	11.7898
169	13.0000
132	11.4891
130	11.4018
122	11.0454
161	12.6886
157	12.5300
158	12.5698
133	11.5326
139	11.7898
154	12.4097
148	12.1655
134	11.5758
127	11.2694
152	12.3288
145	12.0416
158	12.5698
150	12.2474
154	12.4097
169	13.0000
169	13.0000
172	13.1149
162	12.7279
157	12.5300
116	10.7703
166	12.8841
158	12.5698
175	13.2288
181	13.4536
152	12.3288
199	14.1067
180	13.4164
180	13.4164
196	14.0000
221	14.8661
205	14.3178
221	14.8661
221	14.8661
199	14.1067
213	14.5945
215	14.6629
216	14.6969
217	14.7309
249	15.7797
240	15.4919
237	15.3948
266	16.3095
260	16.1245
262	16.1864
298	17.2627
255	15.9687
255	15.9687
282	16.7929
285	16.8819
287	16.9411
271	16.4621
282	16.7929
304	17.4356
305	17.4642
307	17.5214
301	17.3494
283	16.8226
283	16.8226
311	17.6352
249	15.7797
280	16.7332
288	16.9706
301	17.3494
241	15.5242
283	16.8226
242	15.5563
260	16.1245
287	16.9411
245	15.6525
251	15.8430
243	15.5885
253	15.9060
236	15.3623
254	15.9374
255	15.9687
262	16.1864
239	15.4596
272	16.4924
257	16.0312
240	15.4919
295	17.1756
234	15.2971
247	15.7162
269	16.4012
226	15.0333
269	16.4012
248	15.7480
309	17.5784
271	16.4621
268	16.3707
266	16.3095
286	16.9115
282	16.7929
344	18.5472
322	17.9444
398	19.9499
425	20.6155
502	22.4054
622	24.9399
668	25.8457
773	27.8029
926	30.4302
1079	32.8481
1318	36.3043
1445	38.0132
1723	41.5090
1900	43.5890
2065	45.4423
2277	47.7179
2415	49.1426
2453	49.5278
2568	50.6754
2665	51.6236
2606	51.0490
2458	49.5782
2362	48.6004
2169	46.5725
2035	45.1110
1783	42.2256
1598	39.9750
1357	36.8375
1129	33.6006
919	30.3150
910	30.1662
688	26.2298
553	23.5160
466	21.5870
354	18.8149
328	18.1108
266	16.3095
238	15.4272
227	15.0665
176	13.2665
149	12.2066
156	12.4900
166	12.8841
161	12.6886
154	12.4097
160	12.6491
147	12.1244
144	12.0000
135	11.6190
159	12.6095
132	11.4891
143	11.9583
152	12.3288
167	12.9228
152	12.3288
157	12.5300
140	11.8322
153	12.3693
158	12.5698
187	13.6748
160	12.6491
166	12.8841
161	12.6886
192	13.8564
163	12.7671
159	12.6095
190	13.7840
161	12.6886
168	12.9615
171	13.0767
184	13.5647
140	11.8322
180	13.4164
193	13.8924
196	14.0000
174	13.1909
191	13.8203
188	13.7113
185	13.6015
207	14.3875
205	14.3178
190	13.7840
178	13.3417
202	14.2127
213	14.5945
178	13.3417
199	14.1067
186	13.6382
183	13.5277
216	14.6969
190	13.7840
193	13.8924
194	13.9284
186	13.6382
178	13.3417
184	13.5647
173	13.1529
181	13.4536
158	12.5698
188	13.7113
184	13.5647
169	13.0000
138	11.7473
150	12.2474
148	12.1655
146	12.0830
159	12.6095
145	12.0416
161	12.6886
119	10.9087
132	11.4891
143	11.9583
133	11.5326
130	11.4018
143	11.9583
155	12.4499
146	12.0830
135	11.6190
145	12.0416
137	11.7047
135	11.6190
134	11.5758
134	11.5758
138	11.7473
161	12.6886
133	11.5326
129	11.3578
150	12.2474
137	11.7047
142	11.9164
159	12.6095
150	12.2474
150	12.2474
161	12.6886
131	11.4455
142	11.9164
130	11.4018
155	12.4499
140	11.8322
152	12.3288
136	11.6619
166	12.8841
139	11.7898
142	11.9164
137	11.7047
144	12.0000
162	12.7279
161	12.6886
129	11.3578
142	11.9164
139	11.7898
128	11.3137
150	12.2474
132	11.4891
118	10.8628
144	12.0000
131	11.4455
132	11.4891
127	11.2694
114	10.6771
153	12.3693
134	11.5758
127	11.2694
140	11.8322
145	12.0416
136	11.6619
133	11.5326
133	11.5326
136	11.6619
147	12.1244
131	11.4455
112	10.5830
144	12.0000
125	11.1803
122	11.0454
146	12.0830
125	11.1803
123	11.0905
117	10.8167
118	10.8628
112	10.5830
130	11.4018
120	10.9545
126	11.2250
122	11.0454
107	10.3441
126	11.2250
107	10.3441
106	10.2956
105	10.2470
126	11.2250
120	10.9545
113	10.6301
113	10.6301
98	9.8995
113	10.6301
108	10.3923
91	9.5394
100	10.0000
99	9.9499
123	11.0905
103	10.1489
105	10.2470
117	10.8167
107	10.3441
106	10.2956
110	10.4881
133	11.5326
101	10.0499
152	12.3288
107	10.3441
136	11.6619
117	10.8167
130	11.4018
151	12.2882
139	11.7898
157	12.5300
178	13.3417
182	13.4907
239	15.4596
213	14.5945
230	15.1658
264	16.2481
247	15.7162
273	16.5227
352	18.7617
298	17.2627
368	19.1833
359	18.9473
383	19.5704
377	19.4165
404	20.0998
419	20.4695
389	19.7231
398	19.9499
370	19.2354
373	19.3132
395	19.8746
369	19.2094
354	18.8149
345	18.5742
308	17.5499
275	16.5831
283	16.8226
271	16.4621
234	15.2971
243	15.5885
184	13.5647
192	13.8564
159	12.6095
180	13.4164
142	11.9164
119	10.9087
120	10.9545
117	10.8167
114	10.6771
82	9.0554
113	10.6301
101	10.0499
102	10.0995
77	8.7750
98	9.8995
86	9.2736
78	8.8318
75	8.6603
79	8.8882
88	9.3808
70	8.3666
76	8.7178
96	9.7980
76	8.7178
75	8.6603
