# Counts	Error	Energy (keV)	 ErrorEnergy
5	2.2361	8.973	0.000589594969000
0	0.0000	9.837	0.000589594969000
0	0.0000	10.700	0.000589594969000
0	0.0000	11.564	0.000589594969000
0	0.0000	12.428	0.000589594969001
0	0.0000	13.293	0.000589594969001
0	0.0000	14.157	0.000589594969002
0	0.0000	15.022	0.000589594969003
0	0.0000	15.888	0.000589594969004
1	1.0000	16.753	0.000589594969004
1	1.0000	17.619	0.000589594969005
0	0.0000	18.484	0.000589594969007
0	0.0000	19.351	0.000589594969008
0	0.0000	20.217	0.000589594969009
0	0.0000	21.084	0.000589594969011
0	0.0000	21.951	0.000589594969012
0	0.0000	22.818	0.000589594969014
1	1.0000	23.685	0.000589594969016
0	0.0000	24.553	0.000589594969018
0	0.0000	25.421	0.000589594969020
0	0.0000	26.289	0.000589594969022
0	0.0000	27.158	0.000589594969024
0	0.0000	28.026	0.000589594969026
0	0.0000	28.895	0.000589594969029
0	0.0000	29.764	0.000589594969032
0	0.0000	30.634	0.000589594969034
0	0.0000	31.504	0.000589594969037
0	0.0000	32.374	0.000589594969040
0	0.0000	33.244	0.000589594969043
0	0.0000	34.114	0.000589594969046
0	0.0000	34.985	0.000589594969049
0	0.0000	35.856	0.000589594969053
0	0.0000	36.727	0.000589594969056
0	0.0000	37.599	0.000589594969060
0	0.0000	38.471	0.000589594969063
0	0.0000	39.343	0.000589594969067
0	0.0000	40.215	0.000589594969071
0	0.0000	41.087	0.000589594969075
0	0.0000	41.960	0.000589594969079
0	0.0000	42.833	0.000589594969083
0	0.0000	43.706	0.000589594969088
0	0.0000	44.580	0.000589594969092
0	0.0000	45.454	0.000589594969097
0	0.0000	46.328	0.000589594969101
0	0.0000	47.202	0.000589594969106
0	0.0000	48.077	0.000589594969111
0	0.0000	48.951	0.000589594969116
1	1.0000	49.826	0.000589594969121
0	0.0000	50.702	0.000589594969126
0	0.0000	51.577	0.000589594969131
0	0.0000	52.453	0.000589594969137
0	0.0000	53.329	0.000589594969142
0	0.0000	54.205	0.000589594969148
