# Net Counts	Error
21	4.5826
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
1	1.0000
0	0.0000
0	0.0000
0	0.0000
1	1.0000
0	0.0000
2	1.4142
1	1.0000
0	0.0000
1	1.0000
0	0.0000
0	0.0000
1	1.0000
0	0.0000
0	0.0000
0	0.0000
1	1.0000
1	1.0000
0	0.0000
1	1.0000
0	0.0000
0	0.0000
1	1.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
1	1.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
1	1.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
0	0.0000
1	1.0000
2	1.4142
4	2.0000
10	3.1623
12	3.4641
16	4.0000
26	5.0990
50	7.0711
71	8.4261
103	10.1489
141	11.8743
212	14.5602
254	15.9374
293	17.1172
371	19.2614
458	21.4009
488	22.0907
585	24.1868
643	25.3574
741	27.2213
765	27.6586
840	28.9828
834	28.8791
874	29.5635
923	30.3809
902	30.0333
970	31.1448
950	30.8221
997	31.5753
1015	31.8591
943	30.7083
988	31.4325
991	31.4802
1007	31.7333
996	31.5595
930	30.4959
1036	32.1870
1025	32.0156
996	31.5595
978	31.2730
956	30.9192
1004	31.6860
973	31.1929
1030	32.0936
960	30.9839
983	31.3528
924	30.3974
944	30.7246
930	30.4959
950	30.8221
961	31.0000
910	30.1662
949	30.8058
929	30.4795
978	31.2730
939	30.6431
973	31.1929
921	30.3480
955	30.9031
1005	31.7017
944	30.7246
942	30.6920
939	30.6431
949	30.8058
959	30.9677
950	30.8221
967	31.0966
923	30.3809
921	30.3480
925	30.4138
918	30.2985
887	29.7825
987	31.4166
991	31.4802
945	30.7409
899	29.9833
931	30.5123
931	30.5123
912	30.1993
953	30.8707
894	29.8998
910	30.1662
877	29.6142
969	31.1288
913	30.2159
852	29.1890
877	29.6142
924	30.3974
853	29.2062
878	29.6311
882	29.6985
874	29.5635
849	29.1376
871	29.5127
863	29.3769
884	29.7321
832	28.8444
877	29.6142
815	28.5482
939	30.6431
837	28.9310
895	29.9166
902	30.0333
859	29.3087
836	28.9137
851	29.1719
873	29.5466
869	29.4788
892	29.8664
831	28.8271
830	28.8097
838	28.9482
845	29.0689
850	29.1548
760	27.5681
836	28.9137
858	29.2916
835	28.8964
797	28.2312
837	28.9310
779	27.9106
800	28.2843
822	28.6705
798	28.2489
798	28.2489
826	28.7402
849	29.1376
834	28.8791
888	29.7993
830	28.8097
794	28.1780
801	28.3019
832	28.8444
806	28.3901
822	28.6705
764	27.6405
758	27.5318
741	27.2213
852	29.1890
739	27.1846
823	28.6880
758	27.5318
813	28.5132
760	27.5681
759	27.5500
806	28.3901
749	27.3679
787	28.0535
863	29.3769
805	28.3725
837	28.9310
838	28.9482
844	29.0517
889	29.8161
818	28.6007
926	30.4302
916	30.2655
960	30.9839
918	30.2985
931	30.5123
979	31.2890
977	31.2570
1029	32.0780
